time [s];steps;f [Hz];FRCE [MW];aFRR FRCE (open loop) [MW];FCR P [MW];aFRR P [MW];mFRR P [MW];SB P [MW];P gen [MW];P gen schedule [MW];insufficient pos. aFRR;insufficient neg. aFRR;insufficient pos. mFRR;insufficient neg. mFRR;AEP [EUR/MWh]
0;0;50;0;0;0;0;0;0;0;0;False;False;False;False;0
1;1;50;0;0;0;0;0;0;0;0;False;False;False;False;0
2;2;50;0;0;0;0;0;0;0;0;False;False;False;False;0
3;3;50;0;0;0;0;0;0;0;0;False;False;False;False;0
4;4;50;0;0;0;0;0;0;0;0;False;False;False;False;0
5;5;50;0;0;0;0;0;0;0;0;False;False;False;False;0
6;6;50;0;0;0;0;0;0;0;0;False;False;False;False;0
7;7;50;0;0;0;0;0;0;0;0;False;False;False;False;0
8;8;50;0;0;0;0;0;0;0;0;False;False;False;False;0
9;9;50;0;0;0;0;0;0;0;0;False;False;False;False;0
10;10;50;0;0;0;0;0;0;0;0;False;False;False;False;0
11;11;50;0;0;0;0;0;0;0;0;False;False;False;False;0
12;12;50;0;0;0;0;0;0;0;0;False;False;False;False;0
13;13;50;0;0;0;0;0;0;0;0;False;False;False;False;0
14;14;50;0;0;0;0;0;0;0;0;False;False;False;False;0
15;15;50;0;0;0;0;0;0;0;0;False;False;False;False;0
16;16;50;0;0;0;0;0;0;0;0;False;False;False;False;0
17;17;50;0;0;0;0;0;0;0;0;False;False;False;False;0
18;18;50;0;0;0;0;0;0;0;0;False;False;False;False;0
19;19;50;0;0;0;0;0;0;0;0;False;False;False;False;0
20;20;50;0;0;0;0;0;0;0;0;False;False;False;False;0
21;21;50;0;0;0;0;0;0;0;0;False;False;False;False;0
22;22;50;0;0;0;0;0;0;0;0;False;False;False;False;0
23;23;50;0;0;0;0;0;0;0;0;False;False;False;False;0
24;24;50;0;0;0;0;0;0;0;0;False;False;False;False;0
25;25;50;0;0;0;0;0;0;0;0;False;False;False;False;0
26;26;50;0;0;0;0;0;0;0;0;False;False;False;False;0
27;27;50;0;0;0;0;0;0;0;0;False;False;False;False;0
28;28;50;0;0;0;0;0;0;0;0;False;False;False;False;0
29;29;50;0;0;0;0;0;0;0;0;False;False;False;False;0
30;30;50;0;0;0;0;0;0;0;0;False;False;False;False;0
31;31;50;0;0;0;0;0;0;0;0;False;False;False;False;0
32;32;50;0;0;0;0;0;0;0;0;False;False;False;False;0
33;33;50;0;0;0;0;0;0;0;0;False;False;False;False;0
34;34;50;0;0;0;0;0;0;0;0;False;False;False;False;0
35;35;50;0;0;0;0;0;0;0;0;False;False;False;False;0
36;36;50;0;0;0;0;0;0;0;0;False;False;False;False;0
37;37;50;0;0;0;0;0;0;0;0;False;False;False;False;0
38;38;50;0;0;0;0;0;0;0;0;False;False;False;False;0
39;39;50;0;0;0;0;0;0;0;0;False;False;False;False;0
40;40;50;0;0;0;0;0;0;0;0;False;False;False;False;0
41;41;50;0;0;0;0;0;0;0;0;False;False;False;False;0
